,item_name
613,"Baby Girl Romper PDF, Venezia Romper PDF, baby patterns, summer baby PDF, baby sewing patterns, toddler pattern, bubble romper pdf, baby pdf"
614,"Angelica Blouse PDF, girl blouse pattern, girl top pattern, children blouse pdf, kids pdf pattern, top pdf, girl blouse pdf, girl shirt pdf"
620,"Venezia Romper PDF, Baby Girl Romper PDF, baby patterns, summer baby PDF, baby sewing patterns, toddler pattern, bubble romper pdf, baby pdf"
622,"Belted Shorts PDF, girl short pattern, summer shorts pdf, pdf pattern, elastic shorts pdf, children shorts pdf, girl pattern,easy sewing pdf"
624,"Charlotte PDF, child's blouse pdf, sewing pattern, top pattern, girl dress pdf, girl pdf, girl dress pattern, pdf patterns, girl blouse pdf"
625,"Hazel PDf, girl top pattern, girl pdf, girl pattern, children's pattern, tween top pdf, toddler pattern, girl summer pdf, girl blouse pdf"
642,"Hazel PDf, girl top pattern, girl pdf, girl shirt pdf, children's pattern, tween top pdf, toddler pattern, girl summer pdf, girl blouse pdf"
676,"Angelica Blouse PDF, girl blouse pattern, girl top pattern, children blouse pdf, kids pdf, top pdf, girl blouse pdf, pdf sewing pattern"
679,"Charlotte Dress PDF, summer pattern, blouse pattern, girl dress pattern, girl dress pdf, easy dress pattern, girl sewing pdf, girl pattern"
712,"Criss-Cross Cape PDF, cape pattern, girl coat pattern, coat sewing pattern, girl coat pdf, cape sewing PDF, winter pdf, girl cape pdf,"
715,"Hazel PDF, girl top pattern, girl pdf, girl pattern, children's pattern, tween top pdf, toddler pattern, girl summer pdf, girl blouse pdf"
718,"Marcelle Blouse PDF, girl blouse pdf, girl sewing pdf, childrens blouse pdf, girl pattern, easy sewing pattern, toddler pattern,girl pattern"
744,"Rosie Cotton PDF, girl dress pattern, dress pdf, summer dress pdf, flutter sleeve pdf, girl pattern, girl pdf, sewing pdf, sewing pattern"
759,"Rosie Cotton PDF, girl dress pdf, summer dress pdf, girl pattern, flutter sleeve pdf, girl pdf, dress pattern, dress girl pattern, dress pdf"
778,"Gathered Skirt PDF, sewing pattern, girls easy pattern, pdf pattern, girls skirt pdf, little girls pattern, pdf sewing, toddler skirt pdf"
780,"Cali Blouse PDF, girl blouse pdf, girl dress pattern, sewing girl pattern, kids pdf, top girl pattern, boho blouse pdf, sewing pdf"
818,"Mae Dress PDF, girl dress pattern, dress pdf, girl summer pdf, tween sewing, baby pdf"
819,"Mae Dress PDF, girl dress pattern, dress pdf, girl summer pdf, tween sewing, baby dress pdf"
897,"Mae Dress PDF, girl dress pattern, dress pdf, girl summer pdf, tween pattern, baby pdf, girl dress pdf, sewing pdf, sewing patterns"
967,"Lucy Blouse PDF, girl pattern, download girl shirt, spring shirt pattern, children shirt PDF, girl top pattern, girl sewing pdf, toddler pdf"
1095,"Hastings Vest PDF, boy pattern, vest pdf, fall pattern, boy pdf, easy pattern, fall clothing pdf, boy easy pdf, outerwear pdf"
1169,"Hastings Vest PDF, vest pattern, sewing for boys, fall pattern, boy pdf, easy pattern, fall clothing pdf, boy easy pdf, outerwear pdf"
1199,"Hastings Vest PDF, vest pattern, sewing for boys, fall patterns, boy pdf, easy pattern, fall clothing pdf, boy pattern, outerwear pdf"
1222,"Duchess Dress PDF, dress pattern, girl sewing pattern, dress pdf, girl dress pdf, girl pdf"
1394,"Duchess Dress PDF, dress pattern, girl sewing pattern, dress pdf, girl dress pdf,girl pdf,holiday dress pdf,girl dress pattern,kids pattern"
1400,"Melbourne Romper PDF, boy romper pattern, girl romper pdf, romper pdf, kids sewing patterns, sewing pdf, kid romper, toddler romper pdf"
1433,"Rosie Cotton PDF, girl dress pdf, holiday dress pdf, girl pattern, flutter sleeve pdf, girl pdf, dress pattern, sewing pattern, dress pdf"
1463,"Charlotte Dress PDF, fall patterns, blouse pattern, girl dress pattern, girl dress pdf, easy dress pattern, girl sewing pdf, girl pattern"
1472,"Rosie Cotton PDF, girl dress pattern, dress pdf, holiday dress pdf, flutter sleeve pdf, girl pattern, girl pdf, sewing pdf, sewing pattern"
1516,"Gathered Skirt PDF, holiday skirt PDF, girls easy pattern, pdf pattern, girls skirt pdf, little girls pattern, pdf sewing, toddler skirt pdf"
1521,"Lottie Bonnet PDF, bonnet pattern, newborn bonnet pdf, baby hat pattern, bonnet sewing, toddler bonnet pdf, baby patterns, baby bonnet pdf"
1526,"Constance Cape PDF, girl cape pattern, winter coat pdf, cape pdf, girl pattern, sewing pdf, girl coat pattern,wedding cape pdf,cape pattern"
1646,"Macy Pinafore PDF, suspender skirt pdf, pinafore pattern, toddler pinafore, sewing patterns, tween skirt pdf,pinny pattern,kids pinafore pdf"
1679,"Macy Pinafore PDF, suspender skirt pdf, pinny pattern, tween pinafore, sewing patterns, girl patterns, toddler pdf, kids patterns"
1736,"Macy Pinafore, suspender skirt pdf, pinafore pattern, toddler pinafore, tween skirt pdf, pinny pattern, kids pinafore pdf"
1821,"Diaper Cover PDF, baby patterns, diaper cover pattern, nappy cover pdf, baby nappy pdf, sewing patterns, easy patterns, toddler pattern"
2005,"Sadie Skirt PDF, girl skirt pattern, skirt pdf, sewing pdf, easy pattern, skirt pattern, sewing patterns, toddler patterns, tween pdf"
2014,"Macy Pinafore PDF, suspender skirt pdf, Easter PDF,pinny pattern, tween pinafore, sewing patterns, girl patterns, toddler pdf, kids patterns"
2137,"Marlow Dress PDF, girl dress pattern, girl patterns, dress pdf, girl sewing pattern, kids pattern, girl pdf, sewing pattern, kids sewing"
2139,"Marlow Dress PDF, girl dress pattern, girl patterns, dress pdf, girl sewing pattern, kids pattern, girl pdf, sewing pattern,summer dress pdf"
2675,"Lottie Bonnet PDF, bonnet pattern, newborn bonnet pdf, sewing pattern, toddler bonnet pdf, baby patterns, baby bonnet pdf"
2704,"Diaper Cover PDF,baby sewing patterns,diaper cover pattern, nappy cover pdf, baby nappy pdf, sewing patterns, easy patterns, toddler pattern"
2829,"Penny Blouse PDF, girl blouse pattern, girl pdf, sewing pattern, children's pattern, top pattern, summer pdf, girl pattern, flutter pattern"
3129,"Sadie Skirt PDF, girl skirt pdf, skirt pdf, sewing pdf, skirt sewing pattern, easy PDF, sewing patterns, toddler patterns, tween pdf"
3160,"Hastings Vest PDF, vest pattern, sewing for boys, fall patterns, boy pdf, easy pattern, easter vest pdf, boy pattern, outerwear pdf,"
3404,"Macy Pinafore PDF,suspender skirt pdf,pinafore PDF,pinny pattern, tween pinafore, sewing patterns, girl patterns, toddler pdf, kids patterns"
3571,"Mona Shorts PDF, girls sewing pdf, tween pattern, girl pattern, bloomer pdf, sewing pattern, sewing pdf, toddler pattern, bubble shorts pdf"
3572,"Mona Shorts PDF, bubble shorts pdf, girl shorts pattern, bloomer pdf, sewing pattern, girl pdf, toddler shorts pdf, tween pattern, kids pdf"
3796,"Angelica PDF, dress pattern, girl pdf, dress pdf, pdf sewing pattern, girl top pattern, blouse pattern, girl pattern, flutter sleeves,"
3797,"Angelica PDF, blouse pattern, girl pattern, sewing pattern, sewing pdf, toddler pdf, tween pattern, top pattern, girl sewing, flutter sleeve"
4036,"Mona Shorts PDF, bubble shorts, toddler shorts, girls sewing pdf, baby pdf, baby pattern, bloomer pdf, bloomer pattern, tween shorts"
4328,"Laurel Blouse PDF, girls blouse pattern, blouse pdf, sewing patterns, children's blouse, tween pattern, ruffle top pdf, toddler pdf"
4810,"Laurel Blouse PDF, girls blouse pattern, blouse pdf, girl sewing pattern, children's blouse, tween pattern, ruffle top pdf, toddler pdf,"
4871,"Ainsley Pinafore, girls sewing pattern, girl pinafore, pinafore pdf, pinny sewing pattern, girl pdf, girl dress, dress pattern, kids pattern"
5309,"Laurel Blouse PDF, girls blouse pattern, sewing pdf, blouse pdf, sewing patterns, children's patterns, long sleeve pdf, ruffle blouse pdf"
5497,"Lola Blouse PDF, girl blouse pattern, girl pdf, bell sleeve pdf, girl pattern, girl sewing, flounce collar pdf, children pattern,toddler pdf"
6167,"Long Island Top, knit top, girl pattern, pdf pattern, knit pattern, girl knit pdf, sewing patterns, easy pattern, girl pdf, jillyatlanta"
6184,"Long Island Top, knit top, girl pattern, pdf pattern, knit pattern, tank top pdf, sewing patterns, easy pattern, girl pdf, tween pattern"
6244,"Long Island Top, knit top, girl pattern, pdf pattern, knit pattern, tank top pattern, sewing patterns, easy pattern, girl pdf, tween pattern"
6245,"Long Island Top, knit top, girl pattern, pdf pattern, knit pdf, girl knit pdf, sewing patterns, easy pattern, girl pdf, knit fabric patterns"
6317,"Lola Blouse PDF, girl blouse pattern, girl pdf, long sleeve pdf, girl pattern, sewing pdf, gathered collar pdf, children pattern,toddler pdf"
6408,"Marlow Add-on PDF, girl top pattern, girl pdf pattern, blouse pdf, girl sewing pattern, kids pattern, girl pdf, sewing pattern, kids pdf"
6418,"Marlow Peplum PDF, girl dress, peplum top pattern, tween sewing pattern, girl top pattern, girl sewing pattern, girl pdf, sewing pattern"
6435,"Marlow Bundle PDF, girl dress, peplum top pattern, tween sewing pattern, girl top pattern, girl sewing pattern, girl pdf, sewing pattern"
7459,"Agatha Top and Dress, girls pdf pattern, dress pattern, sewing patterns, girl sewing pattern, blouse pdf, top pdf pattern, JillyAtlanta"
7869,"Birdie Dress PDF, girl dress pattern, vintage style pdf, ruffle dress, girl pdf, sewing patterns, sewing, pdf sewing patterns, jillyatlanta"
8772,"Camden Dress PDF, girl sewing pattern, easy dress pattern, toddler dress pdf, girl pdf, sewing pdf, tween dress pattern, kids pattern"
9077,"Raine Tote PDF, rainbow pdf, rainbow tote bag, purse patterns, bag pattern, easy tote pdf, tote patterns, purse pattern, jillyatlanta"
9108,"Louisa Pinafore PDF, girl pinafore pdf, girl patterns, pdf patterns, girl dress pdf, sewing pattern, pinafore dress pdf, sewing dress pdf"
9582,"Hillary Skirt PDF, girl skirt pdf, high low skirt, sewing pdf, skirt sewing pattern, sewing patterns, toddler pdf, tween pdf, skirt pattern"
9807,"Cora Blouse PDF, short sleeve blouse, sewing patterns, blouse pdf, girl blouse pdf, gathered blouse, girl patterns, long sleeve pdf,easy pdf"
10604,"Raine Tote PDF, rainbow tote bag, purse patterns, bag pattern, easy tote pdf, rainbow pdf, tote patterns, little purse pattern, jillyatlanta"
10886,"Livie Tank and Dress, girl tank, girl dress pdf, girl pdf, sewing pdf, sewing patterns, toddler pattern, dress patterns, tween dresses, pdf"
11306,"Clara bow, hair bow pdf, baby pattern, girl bow pdf, easy bow pdf, toddler hair bow, hair bow pattern, simple hair bow, bow,jillyatlanta"
11415,"Livie Tank and Dress, girl tank, girl dress pdf, sewing for girls, sewing pdf, sewing patterns, toddler pattern,dress patterns,tween dresses"
11535,"Bordeaux Peplum + Dress, girls knit pattern, knit peplum, easy sewing pdf, knit pdf, girls pattern,girls top pdf,knit dress pdf,jillyatlanta"
11583,"Bordeaux Peplum + Dress, girls knit pattern, knit peplum, easy pattern, knit pattern, girls pattern, girls top pdf, knit dress pattern"
11590,"Rosie Cotton PDF, girl dress pdf, sundress pattern, girl pattern, flutter sleeve pdf, girl pdf, dress pattern, sewing pattern, girl dress"
11593,"Rosie Cotton PDF, girl dress pattern, dress pdf, holiday dress pdf, flutter sleeve, girl pattern, girl pdf, sewing pdf, sewing pattern"
11600,"Angelica PDF, dress pattern, girl pattern, sewing pattern, sewing pdf, toddler pdf, tween pattern, top pattern, girl sewing,flutter sleeve"
11602,"Camden Add-on PDF, girl top pattern, girl pdf pattern, blouse pdf, girl sewing pattern, tunic pdf, girl pdf, sewing pattern, easy pattern"
11610,"Marlow Add-on PDF, girl top pattern, girl pdf pattern, blouse pdf, girl sewing pattern, tunic pdf, girl pdf, sewing pattern, easy pattern"
11616,"Long Island Top, knit top, girl pattern, children pdf, toddler pdf pattern, sewing pattern, easy pattern, knit pattern, flutter sleeve"
11640,"Penny Blouse PDF, girl blouse pattern, girl pdf, sewing pdf pattern, children pdf, top pattern, summer pdf, girl pattern, flutter pattern"
11898,"Meri Dress, girl top pattern, dress pdf, sewing pattern, sewing pdf, high low pattern, top pdf, girl sewing pattern, children pattern"
11920,"Bellaire Bottoms PDF, knit pant pdf, girl knit shorts, knit shorts pattern, girl knit pattern, bell bottoms pdf, easy knit pattern, knit pdf"
11987,"Meri Top, girl dress pattern, dress pdf, sewing pattern, sewing pdf, high low pattern, top pdf, girl sewing pattern, children pattern"
